event_start, event_dt, event_stats[0], event_stats[1], event_stats[2]
816505,7,157,1568,6455
816523,6,215,1696,6290
816564,6,130,1338,4614
816573,5,2,45,155
816580,11,1063,12444,47612
816701,12,678,5815,28506
816718,20,385,3211,13766
816755,2,1,9,28
816814,23,2370,32637,194652
816939,18,1840,18030,87763
816973,17,37,312,1102
817016,6,91,657,2638
817073,11,37,385,1259
817147,4,1,9,31
817194,13,4,40,198
817246,4,2,17,60
817263,5,736,5877,25154
817310,19,1710,21666,89821
817432,20,1387,13283,55600
817467,16,48,396,1464
817491,6,73,692,2573
817504,6,1,16,69
817514,2,404,3749,13008
817556,20,2229,27353,188502
817697,20,235,2081,8393
817739,5,12,98,358
817755,7,349,3628,11432
817805,18,1969,23680,121871
817911,5,5,46,136
817925,20,173,1465,6148
817962,11,12,93,329
817985,7,57,511,1921
818001,8,910,10184,49630
818031,62,4805,49996,324875
818108,59,842,9664,106907
818229,10,16,253,1346
818250,57,5632,72073,899858
818323,27,274,3188,21302
818357,26,313,4130,42870
818462,60,6151,64236,523940
818535,61,1155,12573,113306
818637,6,5,46,178
818675,57,5834,66338,727185
818748,62,909,12176,110571
818887,26,1437,16834,64361
818937,10,35,306,1114
818962,62,693,7746,71055
819035,10,28,371,2169
819117,71,6883,97951,1401439
819196,4,6,54,177
819213,12,9,76,258
819230,9,546,6504,29978
819253,37,2727,72423,1177533
819366,78,4716,85016,1717743
819457,13,347,3017,12633
819479,7,27,238,822
819494,44,3338,69333,933060
819609,79,6833,109630,1790760
819704,4,2,16,62
819724,12,218,2007,8563
819749,35,2867,75825,1199617
819811,11,20,384,2097
819859,80,5598,103525,2308788
819956,6,17,131,454
819980,51,3206,63335,932358
820044,5,1,8,35
820058,12,37,486,2287
820104,72,6408,106308,1769831
820179,5,1,9,29
820205,4,2,16,55
820218,10,289,2637,11679
820239,37,3019,75966,1041452
820280,3,1,13,43
820351,76,6424,117368,2017597
820480,44,3059,58522,885205
820596,79,7665,118464,1834330
820706,16,448,4565,22688
820733,38,2931,75436,1252553
820844,80,6482,106735,1942430
820936,9,1,8,65
820959,7,6,50,186
820973,47,2685,65834,1062210
821089,57,4404,62805,1280483
821155,11,128,1148,4405
821202,10,455,4173,16729
821228,36,3229,81221,1182081
821337,80,6537,104215,1900443
821436,9,195,1611,6437
821450,11,36,481,2440
821468,43,2841,59069,843427
821582,21,2616,44040,807907
821615,48,4303,48298,383583
821696,16,172,1567,6825
821721,37,2732,82955,1319433
821831,79,5432,97838,2164279
821925,13,26,220,812
821941,10,108,1198,5099
821960,40,2777,63122,977740
822003,8,9,86,323
822077,74,5957,69143,711047
822165,9,20,326,1823
822178,25,370,3390,15295
822212,39,2838,77201,1261217
822324,80,5678,108073,2129155
822418,14,521,4646,19513
822458,39,3005,64171,877717
822570,80,8027,112625,1270052
822652,9,30,333,1676
822671,6,425,3489,12446
822683,10,794,8118,36447
822696,48,2826,74390,1148520
822801,6,1,9,29
822817,19,2513,47859,683532
822846,51,4648,56141,402633
822913,10,38,323,1142
822931,6,5,36,127
822946,45,3036,61855,1001388
823061,79,5655,74363,1132721
823157,13,11,97,332
823177,8,42,344,1175
823198,39,2843,76403,1146683
823288,8,8,95,453
823311,77,6825,119660,2472621
823411,20,6,46,191
823442,42,2822,65260,938449
823556,81,7363,107830,1700674
823657,26,779,8317,38161
823693,37,2939,74160,1078988
823804,79,6601,108080,1934949
823898,13,446,3899,18324
823917,8,88,817,3308
823934,44,2774,53187,753573
824021,103,9668,150722,2298945
824134,198,11420,167170,2431055
824369,8,23,244,1003
824385,102,9573,190153,3801658
824496,198,8825,126862,1972661
824705,5,2,19,69
824747,311,22296,340095,5542902
825098,25,936,41484,689487
825133,184,15235,256335,3983627
825344,27,1074,46215,803496
825381,183,13660,256593,4357549
825590,27,1095,47272,769449
825628,182,14583,256728,4142281
825837,27,1054,46192,731493
825874,181,13624,240908,3985912
826066,8,35,440,1812
826084,27,991,42894,705955
826120,184,15393,258054,3972220
826331,27,1798,51718,814023
826367,183,14809,262276,4240439
826577,27,1060,45751,752648
826613,184,14584,278778,5993953
826800,9,9,165,1118
826824,21,1205,47413,541209
826861,183,14715,256625,4253803
827070,26,1949,59712,857310
827107,183,15299,251273,3896887
827296,9,15,195,893
827317,27,1050,45658,774218
827354,182,13748,245767,4104293
827564,26,1125,46407,724408
827600,184,15794,254410,3833879
827811,27,1978,57140,866287
827848,182,14945,259178,4208340
828058,26,899,34607,561178
828093,184,15228,246226,3850958
828305,26,1050,45732,754801
828341,182,15262,248918,4135961
828551,25,1064,38942,625688
828586,184,15533,253500,4116337
828798,26,898,34048,550804
828834,183,14576,260169,4255833
829044,25,1328,46308,646669
829080,184,15564,253354,3914965
829291,28,1751,47490,525716
829327,181,14421,248601,4283359
829518,11,58,776,3728
829538,25,1051,43718,718600
829573,184,15246,257374,4288962
829784,27,1048,45942,807834
829821,183,15267,260991,4331660
830022,9,22,235,1025
830273,7,17,138,506
830370,9,34,392,1752
830416,3,4,43,149
830429,7,22,210,698
830598,10,59,557,1966
830664,10,10,100,480
830711,5,4,41,165
830724,12,37,412,1826
830844,10,27,475,2284
830861,4,4,49,182
830868,7,12,177,762
830900,5,11,104,341
830915,2,1,6,24
831053,9,14,120,412
831093,3,1,9,31
831148,10,7,67,314
831239,6,290,2908,10872
831301,3,1,11,31
831503,17,106,889,3481
831587,10,636,7151,28445
831732,7,233,2163,8056
831752,7,4,32,119
831962,10,39,525,2622
831997,13,110,946,3887
832080,10,253,2500,9713
832225,7,689,7359,27423
832330,7,64,608,2049
832492,11,48,386,1531
832574,10,166,1733,6258
832719,9,481,4957,20073
832824,4,2,16,55
832853,9,7,69,292
832984,11,77,634,2563
833069,7,9,85,346
833112,9,24,256,1126
833147,6,3,31,130
833213,8,253,2545,9512
833232,10,17,143,538
833316,9,20,169,591
833617,5,2,16,56
833688,8,3,59,358
833707,5,172,1569,5885
833725,10,37,333,1210
833811,7,51,478,1596
833921,8,5,52,242
833957,4,1,9,33
833969,13,317,2745,11467
833993,7,3,32,146
834055,11,168,1829,6807
834200,8,445,4748,17604
834302,9,211,2110,7471
834464,13,35,294,1197
834550,5,16,154,515
834693,7,371,3685,13977
834715,3,1,6,24
834796,10,493,5287,17643
834942,6,25,213,727
834957,13,159,1349,6054
835039,11,537,5780,21523
835086,11,42,561,2836
835171,11,35,521,2971
835209,5,2,14,51
835229,5,4,40,166
835370,10,92,1109,5171
835400,7,2,17,71
835452,11,18,149,534
835534,6,4,41,197
835782,11,439,4757,16734
835943,13,185,1587,6708
836026,10,280,3034,10590
836160,11,538,4904,18686
836173,5,2,17,67
836185,3,2,14,58
836215,27,281,2544,11858
836303,12,39,439,1739
836368,11,203,1749,7678
836390,6,5,45,167
836411,5,1,9,36
836558,4,3,23,89
836589,2,2,15,54
836596,13,276,2286,9228
836643,29,271,2672,13121
836794,12,290,2672,13437
836816,33,185,1580,6251
836853,11,8,81,296
836875,15,91,938,4293
837010,31,770,6504,25020
837067,31,303,2765,13035
837235,5,1,8,29
837249,11,1205,10147,43200
837266,21,177,1562,5948
837302,2,8,75,239
837318,3,3,21,76
837363,18,2230,30261,156354
837486,19,477,4442,18981
837518,20,44,365,1364
837545,7,25,221,827
837561,8,982,8957,45200
837604,25,2460,29207,186396
837732,4,3,24,87
837739,37,626,5368,20609
837794,4,73,742,2597
837810,5,118,931,3284
837855,20,2484,37688,244851
837976,23,1257,10338,46984
838016,12,60,492,1976
838038,6,107,1108,3828
838099,25,2517,40721,294548
